timestamp,load_mw,hour,day_of_week,hour_norm,dow_norm,load_scaled,lstm_prediction,residual,residual_z,lstm_anomaly,zscore_anomaly,lstm_streak,z_streak
2025-02-07 23:00:00+00:00,54296.924,23.0,4,0.9583333333333334,0.6666666666666666,0.49588553376647637,53251.523017938736,1045.4009820612628,0.8802385735236455,0,1,1,1
2025-02-07 23:00:00+00:00,54296.924,23.0,4,0.9583333333333334,0.6666666666666666,0.49588553376647637,53251.523017938736,1045.4009820612628,0.8802385735236455,0,1,1,1
2025-02-07 23:15:00+00:00,53500.501,23.25,4,0.96875,0.6666666666666666,0.4764607995354587,52646.89807219208,853.602927807915,0.6197078183597851,0,1,1,1
2025-02-07 23:15:00+00:00,53500.501,23.25,4,0.96875,0.6666666666666666,0.4764607995354587,52646.89807219208,853.602927807915,0.6197078183597851,0,1,1,1
2025-02-07 23:30:00+00:00,53074.06,23.5,4,0.9791666666666666,0.6666666666666666,0.4660599157209414,52080.48954818094,993.5704518190541,0.8098340679247091,0,1,1,1
2025-02-07 23:30:00+00:00,53074.06,23.5,4,0.9791666666666666,0.6666666666666666,0.4660599157209414,52080.48954818094,993.5704518190541,0.8098340679247091,0,1,1,1
2025-02-07 23:45:00+00:00,52647.618,23.75,4,0.9895833333333334,0.6666666666666666,0.4556590075164527,51574.13051354731,1073.4874864526937,0.9183901503344793,0,1,1,1
2025-02-07 23:45:00+00:00,52647.618,23.75,4,0.9895833333333334,0.6666666666666666,0.4556590075164527,51574.13051354731,1073.4874864526937,0.9183901503344793,0,1,1,1
2025-02-08 00:00:00+00:00,52370.31,0.0,5,0.0,0.8333333333333334,0.44889547331398083,51139.57206586856,1230.7379341314372,1.1319928276039837,0,1,1,1
2025-02-08 00:00:00+00:00,52370.31,0.0,5,0.0,0.8333333333333334,0.44889547331398083,51139.57206586856,1230.7379341314372,1.1319928276039837,0,1,1,1
2025-02-08 00:15:00+00:00,52220.334,0.25,5,0.010416666666666666,0.8333333333333334,0.44523756295600403,50691.269587249764,1529.0644127502383,1.5372275056225138,0,0,1,2
2025-02-08 00:15:00+00:00,52220.334,0.25,5,0.010416666666666666,0.8333333333333334,0.44523756295600403,50691.269587249764,1529.0644127502383,1.5372275056225138,0,0,1,2
2025-02-08 00:30:00+00:00,52102.046,0.5,5,0.020833333333333332,0.8333333333333334,0.4423525220132908,50502.28060846192,1599.7653915380797,1.6332648688070797,0,0,1,2
2025-02-08 00:30:00+00:00,52102.046,0.5,5,0.020833333333333332,0.8333333333333334,0.4423525220132908,50502.28060846192,1599.7653915380797,1.6332648688070797,0,0,1,2
2025-02-08 00:45:00+00:00,51745.246,0.75,5,0.03125,0.8333333333333334,0.4336501802004259,50633.36821366108,1111.8777863389187,0.9705379881176079,0,0,1,2
2025-02-08 00:45:00+00:00,51745.246,0.75,5,0.03125,0.8333333333333334,0.4336501802004259,50633.36821366108,1111.8777863389187,0.9705379881176079,0,0,1,2
2025-02-08 01:00:00+00:00,50858.792,1.0,5,0.041666666666666664,0.8333333333333334,0.41202959244991855,50905.515422325916,-46.723422325914726,-0.6032592487850185,0,0,1,2
2025-02-08 01:00:00+00:00,50858.792,1.0,5,0.041666666666666664,0.8333333333333334,0.41202959244991855,50905.515422325916,-46.723422325914726,-0.6032592487850185,0,0,1,2
2025-02-08 01:15:00+00:00,50718.369,1.25,5,0.052083333333333336,0.8333333333333334,0.4086046794891901,50924.16175164182,-205.79275164182036,-0.8193326216428094,0,0,1,2
2025-02-08 01:15:00+00:00,50718.369,1.25,5,0.052083333333333336,0.8333333333333334,0.4086046794891901,50924.16175164182,-205.79275164182036,-0.8193326216428094,0,0,1,2
2025-02-08 01:30:00+00:00,50680.602,1.5,5,0.0625,0.8333333333333334,0.40768354343749025,50713.08554816759,-32.483548167590925,-0.5839163770215554,0,0,1,2
2025-02-08 01:30:00+00:00,50680.602,1.5,5,0.0625,0.8333333333333334,0.40768354343749025,50713.08554816759,-32.483548167590925,-0.5839163770215554,0,0,1,2
2025-02-08 01:45:00+00:00,50266.275,1.75,5,0.07291666666666667,0.8333333333333334,0.39757811973710144,50425.416431160695,-159.14143116069317,-0.7559633460698496,0,0,1,2
