timestamp,load_mw
2025-02-01 00:00:00+01:00,51687.684
2025-02-01 00:15:00+01:00,51193.244
2025-02-01 00:30:00+01:00,50647.715
2025-02-01 00:45:00+01:00,50346.031
2025-02-01 01:00:00+01:00,49590.034
2025-02-01 01:15:00+01:00,49284.771
2025-02-01 01:30:00+01:00,48936.994
2025-02-01 01:45:00+01:00,48774.808
2025-02-01 02:00:00+01:00,48611.645
2025-02-01 02:15:00+01:00,48044.688
2025-02-01 02:30:00+01:00,47739.314
2025-02-01 02:45:00+01:00,47766.988
2025-02-01 03:00:00+01:00,47287.731
2025-02-01 03:15:00+01:00,47035.945
2025-02-01 03:30:00+01:00,47003.748
2025-02-01 03:45:00+01:00,46983.298
2025-02-01 04:00:00+01:00,47241.408
2025-02-01 04:15:00+01:00,47066.448
2025-02-01 04:30:00+01:00,46998.668
2025-02-01 04:45:00+01:00,47206.714
2025-02-01 05:00:00+01:00,47347.365
2025-02-01 05:15:00+01:00,47052.028
2025-02-01 05:30:00+01:00,47297.278
2025-02-01 05:45:00+01:00,47437.021
2025-02-01 06:00:00+01:00,47677.99
2025-02-01 06:15:00+01:00,47979.783
2025-02-01 06:30:00+01:00,48463.273
2025-02-01 06:45:00+01:00,48618.094
2025-02-01 07:00:00+01:00,49700.731
2025-02-01 07:15:00+01:00,50435.038
2025-02-01 07:30:00+01:00,51183.028
2025-02-01 07:45:00+01:00,51909.82
2025-02-01 08:00:00+01:00,52657.134
2025-02-01 08:15:00+01:00,53806.62
2025-02-01 08:30:00+01:00,54178.16
2025-02-01 08:45:00+01:00,54770.854
2025-02-01 09:00:00+01:00,55838.47
2025-02-01 09:15:00+01:00,56175.497
2025-02-01 09:30:00+01:00,56746.705
2025-02-01 09:45:00+01:00,57414.661
2025-02-01 10:00:00+01:00,57517.588
2025-02-01 10:15:00+01:00,57887.095
2025-02-01 10:30:00+01:00,58209.828
2025-02-01 10:45:00+01:00,58768.326
2025-02-01 11:00:00+01:00,58771.406
2025-02-01 11:15:00+01:00,59055.424
2025-02-01 11:30:00+01:00,59058.615
2025-02-01 11:45:00+01:00,58703.626
2025-02-01 12:00:00+01:00,58326.407
2025-02-01 12:15:00+01:00,58134.974
2025-02-01 12:30:00+01:00,57487.208
2025-02-01 12:45:00+01:00,56648.32
2025-02-01 13:00:00+01:00,56510.694
2025-02-01 13:15:00+01:00,56088.008
2025-02-01 13:30:00+01:00,55576.904
